Kategoria: Wszystko

Tydzień,Orange: (Polska)
2014-07-20,94
2014-07-27,96
2014-08-03,99
2014-08-10,98
2014-08-17,97
2014-08-24,96
2014-08-31,92
2014-09-07,97
2014-09-14,91
2014-09-21,90
2014-09-28,94
2014-10-05,90
2014-10-12,89
2014-10-19,89
2014-10-26,88
2014-11-02,91
2014-11-09,93
2014-11-16,93
2014-11-23,98
2014-11-30,96
2014-12-07,100
2014-12-14,96
2014-12-21,90
2014-12-28,96
2015-01-04,94
2015-01-11,91
2015-01-18,88
2015-01-25,85
2015-02-01,87
2015-02-08,89
2015-02-15,87
2015-02-22,86
2015-03-01,86
2015-03-08,82
2015-03-15,79
2015-03-22,95
2015-03-29,79
2015-04-05,79
2015-04-12,81
2015-04-19,79
2015-04-26,77
2015-05-03,80
2015-05-10,81
2015-05-17,80
2015-05-24,77
2015-05-31,78
2015-06-07,85
2015-06-14,89
2015-06-21,87
2015-06-28,88
2015-07-05,91
2015-07-12,89
2015-07-19,86
2015-07-26,87
2015-08-02,83
2015-08-09,85
2015-08-16,84
2015-08-23,82
2015-08-30,81
2015-09-06,77
2015-09-13,78
2015-09-20,78
2015-09-27,78
2015-10-04,75
2015-10-11,77
2015-10-18,75
2015-10-25,74
2015-11-01,75
2015-11-08,79
2015-11-15,78
2015-11-22,77
2015-11-29,77
2015-12-06,80
2015-12-13,77
2015-12-20,77
2015-12-27,76
2016-01-03,72
2016-01-10,70
2016-01-17,70
2016-01-24,67
2016-01-31,70
2016-02-07,68
2016-02-14,69
2016-02-21,65
2016-02-28,65
2016-03-06,69
2016-03-13,63
2016-03-20,63
2016-03-27,64
2016-04-03,60
2016-04-10,61
2016-04-17,60
2016-04-24,61
2016-05-01,57
2016-05-08,60
2016-05-15,60
2016-05-22,57
2016-05-29,66
2016-06-05,62
2016-06-12,62
2016-06-19,65
2016-06-26,70
2016-07-03,82
2016-07-10,72
2016-07-17,71
2016-07-24,71
2016-07-31,70
2016-08-07,71
2016-08-14,69
2016-08-21,65
2016-08-28,66
2016-09-04,66
2016-09-11,66
2016-09-18,63
2016-09-25,63
2016-10-02,61
2016-10-09,62
2016-10-16,60
2016-10-23,60
2016-10-30,59
2016-11-06,60
2016-11-13,64
2016-11-20,64
2016-11-27,66
2016-12-04,63
2016-12-11,63
2016-12-18,64
2016-12-25,71
2017-01-01,60
2017-01-08,64
2017-01-15,64
2017-01-22,64
2017-01-29,68
2017-02-05,60
2017-02-12,60
2017-02-19,58
2017-02-26,57
2017-03-05,54
2017-03-12,54
2017-03-19,52
2017-03-26,52
2017-04-02,51
2017-04-09,52
2017-04-16,53
2017-04-23,53
2017-04-30,52
2017-05-07,54
2017-05-14,53
2017-05-21,56
2017-05-28,59
2017-06-04,56
2017-06-11,62
2017-06-18,60
2017-06-25,62
2017-07-02,65
2017-07-09,64
2017-07-16,60
2017-07-23,59
2017-07-30,56
2017-08-06,57
2017-08-13,58
2017-08-20,56
2017-08-27,54
2017-09-03,55
2017-09-10,51
2017-09-17,51
2017-09-24,50
2017-10-01,50
2017-10-08,53
2017-10-15,49
2017-10-22,48
2017-10-29,47
2017-11-05,48
2017-11-12,49
2017-11-19,52
2017-11-26,50
2017-12-03,51
2017-12-10,51
2017-12-17,51
2017-12-24,56
2017-12-31,50
2018-01-07,50
2018-01-14,50
2018-01-21,49
2018-01-28,48
2018-02-04,48
2018-02-11,50
2018-02-18,46
2018-02-25,45
2018-03-04,44
2018-03-11,44
2018-03-18,45
2018-03-25,43
2018-04-01,44
2018-04-08,43
2018-04-15,42
2018-04-22,43
2018-04-29,42
2018-05-06,43
2018-05-13,43
2018-05-20,43
2018-05-27,46
2018-06-03,45
2018-06-10,44
2018-06-17,41
2018-06-24,43
2018-07-01,45
2018-07-08,44
2018-07-15,45
2018-07-22,48
2018-07-29,50
2018-08-05,49
2018-08-12,46
2018-08-19,46
2018-08-26,45
2018-09-02,43
2018-09-09,42
2018-09-16,41
2018-09-23,42
2018-09-30,41
2018-10-07,40
2018-10-14,39
2018-10-21,36
2018-10-28,37
2018-11-04,38
2018-11-11,40
2018-11-18,40
2018-11-25,40
2018-12-02,40
2018-12-09,40
2018-12-16,38
2018-12-23,42
2018-12-30,38
2019-01-06,39
2019-01-13,36
2019-01-20,40
2019-01-27,37
2019-02-03,39
2019-02-10,38
2019-02-17,38
2019-02-24,38
2019-03-03,35
2019-03-10,36
2019-03-17,35
2019-03-24,34
2019-03-31,37
2019-04-07,37
2019-04-14,35
2019-04-21,36
2019-04-28,34
2019-05-05,37
2019-05-12,37
2019-05-19,35
2019-05-26,39
2019-06-02,36
2019-06-09,34
2019-06-16,38
2019-06-23,37
2019-06-30,38
2019-07-07,39
